device,variant,engine,relpos_bin,token_ms_mean_gain_kv_over_no_cache,token_ms_p50_gain_kv_over_no_cache,token_ms_p95_gain_kv_over_no_cache
unknown,1767102282,tau,75-90%,5.831482661536342,5.770637025331782,6.040511625611364
unknown,1767102282,tau,90-100%,6.060705945280303,5.931588010164799,6.437981077135457
unknown,1767104587,nano,0-10%,4.2228887738278775,4.190069118153327,4.207205018703754
unknown,1767104587,nano,10-25%,4.432972752236237,4.339256353059513,4.937576961264866
unknown,1767104587,nano,25-50%,4.581231549593974,4.548564860709325,4.75498359111251
unknown,1767104587,nano,50-75%,5.972179954430012,5.985519970010013,6.7549763063109465
unknown,1767104587,nano,75-90%,7.038818068777079,6.984128288025029,7.217717167646641
unknown,1767104587,nano,90-100%,7.339800509908127,7.203595142132382,8.38799186805184
unknown,1767104587,tau,0-10%,5.181243912206028,5.067915978123898,5.615470688721896
unknown,1767104587,tau,10-25%,5.4305812321971825,5.330684289079894,5.89975033145692
unknown,1767104587,tau,25-50%,5.790460879882217,5.693015068358991,6.177618483478542
unknown,1767104587,tau,50-75%,7.594644184793373,7.46138407942998,9.099204071413935
unknown,1767104587,tau,75-90%,9.03991988762876,8.759101104411293,9.94731561605565
unknown,1767104587,tau,90-100%,9.3872258255889,9.043906484030348,10.354412312288838
unknown,1767204018,nano,0-10%,12.811307369917857,14.051581072702888,15.364530340805118
unknown,1767204018,nano,10-25%,15.681201927264926,16.466940200225398,17.113615668043114
unknown,1767204018,nano,25-50%,19.408739749685907,18.60524407431666,23.805412150457155
unknown,1767204018,nano,50-75%,26.140853926208198,25.49864248480236,32.09703457770284
unknown,1767204018,nano,75-90%,32.897452173536685,32.670714651148685,37.869785384312294
unknown,1767204018,nano,90-100%,36.80250762678565,36.831635149286974,40.06903002867486
unknown,1767204018,tau,0-10%,21.98639765365838,22.508345132494394,26.78962439536969
unknown,1767204018,tau,10-25%,27.840421731015066,28.244419734600836,33.07952910310587
unknown,1767204018,tau,25-50%,37.19029689876951,36.72344448908274,46.46151387962024
unknown,1767204018,tau,50-75%,52.14163353252398,50.40622382602414,64.5659427039476
unknown,1767204018,tau,75-90%,67.46379818943866,67.16233651125135,76.92770240575223
unknown,1767204018,tau,90-100%,76.1620204980397,75.95086124773329,82.67902846680872
unknown,1767240798,nano,0-10%,8.349947841680292,9.282479030717523,10.5461290402968
unknown,1767240798,nano,10-25%,8.757659055493443,9.018006752629661,11.383197812480752
unknown,1767240798,nano,25-50%,9.719597279981,9.740601953169584,12.483088866526218
unknown,1767240798,nano,50-75%,11.118967016721635,10.722919847487782,13.604314302189993
unknown,1767240798,nano,75-90%,12.263085560434671,12.334096114693384,13.82966828856122
unknown,1767240798,nano,90-100%,12.785139406566554,12.693337011710291,13.909924952713581
unknown,1767240798,tau,0-10%,9.747966655139082,10.65035726459548,11.753183563000979
unknown,1767240798,tau,10-25%,10.17910417946295,10.375731778907623,12.256904749680123
unknown,1767240798,tau,25-50%,11.314594756860423,11.257200506750438,13.542382941573928
unknown,1767240798,tau,50-75%,13.072041680623014,13.373666068712279,14.873053559717464
unknown,1767240798,tau,75-90%,15.145377959171013,14.917499221155504,16.836797741142888
unknown,1767240798,tau,90-100%,15.717278189331399,15.538664911161051,17.487832098433394
unknown,1767278026,nano,0-10%,4.328068661157365,4.781204456072282,4.624491534068323
unknown,1767278026,nano,10-25%,4.498132522605647,4.509064035843687,4.817703942566185
unknown,1767278026,nano,25-50%,4.961360524350255,4.898387343489649,5.338412983238167
unknown,1767278026,nano,50-75%,5.518894200441707,5.537628892627899,5.863429171658166
unknown,1767278026,nano,75-90%,6.05692655118946,6.024631475889519,6.226825050520571
unknown,1767278026,nano,90-100%,6.26452030299717,6.193638129765892,6.49669450747813
unknown,1767278026,tau,0-10%,4.646851425946114,5.130194741869085,4.8662912226205455
unknown,1767278026,tau,10-25%,4.806601218696414,4.788425732710163,5.033241677697196
unknown,1767278026,tau,25-50%,5.339072245700041,5.230579317046994,5.641423215412893
unknown,1767278026,tau,50-75%,6.003955427225485,5.890745633533032,6.177367866792904
unknown,1767278026,tau,75-90%,6.486309808005102,6.486964269702538,6.485134202885411
unknown,1767278026,tau,90-100%,6.744368404963536,6.68393982281242,6.866202372080755
unknown,1767325731,nano,0-10%,4.905800172128205,4.579490276951292,6.714685622531786
unknown,1767325731,nano,10-25%,6.166290314726141,6.036517916897904,8.118125825516296
unknown,1767325731,nano,25-50%,8.554743821029852,8.254842172210662,11.29790971603087
unknown,1767325731,nano,50-75%,12.407540744467221,11.835743930741328,15.158105335285208
unknown,1767325731,nano,75-90%,17.012269990627356,15.621534582275297,14.661938536996518
unknown,1767325731,nano,90-100%,20.60929819091795,23.954560339366356,15.907988836883632
unknown,1767325731,tau,0-10%,5.2960386110720545,4.91905045672984,7.331126405870962
unknown,1767325731,tau,10-25%,6.721945667436154,6.505890598582975,8.979943871240085
unknown,1767325731,tau,25-50%,9.431862800575532,9.084589801768821,12.781373860302537
unknown,1767325731,tau,50-75%,13.343702856403983,13.158045557023861,16.88177325928676
unknown,1767325731,tau,75-90%,16.628064258147756,16.25742684150392,19.51706210354452
unknown,1767325731,tau,90-100%,18.84522333819096,18.1660608851385,21.95869621677294
