device,variant,engine,mode,experiment,token_ms__mean,token_ms__std,token_ms__min,token_ms__p25,token_ms__p50,token_ms__p75,token_ms__p95,token_ms__max,token_ms__count
unknown,1767102282,nano,kv_cache,1767102282,70.17366239409722,1.717662147604714,65.514871,69.077627,70.1708485,71.21042725,72.96742830000001,77.684512,1152
unknown,1767102282,nano,no_cache,1767102282,310.40121757291666,20.55504609136947,259.977388,293.72106125,307.3193265,325.693438,342.70523995,410.14274,1152
unknown,1767102282,tau,kv_cache,1767102282,66.4983733611111,1.2538173925110814,63.024244,65.786726,66.485536,67.2294775,68.4623179,72.084531,1152
unknown,1767102282,tau,no_cache,1767102282,367.2924807369792,26.853802791585345,306.72747,346.50529125,364.7269155,384.20917775,411.5852583,492.141872,1152
unknown,1767104587,nano,kv_cache,1767104587,71.87958392230902,3.178859700039721,64.015757,69.86976874999999,71.9385,73.7937475,76.46823635,102.672963,2304
unknown,1767104587,nano,no_cache,1767104587,398.0682824648437,100.17177925704041,261.113453,309.3985755,364.435356,506.676043,549.8184688499999,671.114158,2304
unknown,1767104587,tau,kv_cache,1767104587,66.02940463541667,2.0229420449647297,60.67812,64.87927825,66.236614,67.37080625,68.7869209,80.093149,2304
unknown,1767104587,tau,no_cache,1767104587,460.39798534331595,113.64417923478663,301.280763,362.84762675,422.643039,574.74052075,661.4523576,741.01335,2304
unknown,1767204018,nano,kv_cache,1767204018,37.75429351302083,9.646210285263118,18.659003,28.8015345,37.830780000000004,45.936547499999996,53.269572149999995,62.120811,12288
unknown,1767204018,nano,no_cache,1767204018,958.730976173584,551.8380599426768,189.355942,498.76539725,785.106171,1428.85554125,2045.6556858,2341.270744,12288
unknown,1767204018,tau,kv_cache,1767204018,21.66304746533203,3.4887229631294394,14.240772,18.51808525,21.534533500000002,24.464427,27.48949035,30.970299,12288
unknown,1767204018,tau,no_cache,1767204018,1057.771035857422,569.9460724345739,247.492693,580.1917185,894.731878,1549.9055230000001,2175.55773475,2490.609336,12288
unknown,1767240798,nano,kv_cache,1767240798,181.9321743795573,11.723732939578403,158.149827,173.26574975,182.046572,191.6727735,200.1868158,222.815445,3072
unknown,1767240798,nano,no_cache,1767240798,1913.728991980469,502.99294268683167,1005.363948,1507.11685,1913.0310825000001,2235.219372,2733.58028625,2954.168894,3072
unknown,1767240798,tau,kv_cache,1767240798,155.77977770963543,5.312091541908328,143.959138,151.74615525000002,155.0809865,159.88647650000001,164.80989705,181.909182,3072
unknown,1767240798,tau,no_cache,1767240798,1941.818367036133,481.3962978892903,1086.639378,1517.34152825,1975.0062695000001,2225.360724,2799.9684436499997,3086.058977,3072
unknown,1767278026,nano,kv_cache,1767278026,882.0590564794921,119.98888674598444,738.56553,761.515406,886.9861675,1000.50269975,1017.21086035,1041.23614,3072
unknown,1767278026,nano,no_cache,1767278026,4644.647463283529,1044.833330793722,2781.150941,3763.07348175,4633.108302000001,5446.7592,6367.5392864,6801.744765,3072
unknown,1767278026,tau,kv_cache,1767278026,834.4165658929037,129.01465589958593,679.693227,705.768953,849.8582415000001,963.01086675,973.3129916500001,991.665098,3072
unknown,1767278026,tau,no_cache,1767278026,4729.690888148438,1020.2007010232553,2901.195669,3952.7041845000003,4702.331400499999,5557.00643925,6362.2784507999995,6796.941964,3072
unknown,1767325731,nano,kv_cache,1767325731,753.5119665463867,98.60226217609822,512.476907,736.2274130000001,769.3339965,794.585615,830.07561805,1096.271195,8192
unknown,1767325731,nano,no_cache,1767325731,8405.221636644654,3573.292198532867,2770.51099,5288.35161275,8020.773622000001,11326.502814,14022.76993535,17547.132517,8192
unknown,1767325731,tau,kv_cache,1767325731,719.9945910677491,16.89961886082589,675.54973,707.95447125,719.4615650000001,731.268112,745.97592035,829.337985,8192
unknown,1767325731,tau,no_cache,1767325731,8412.594894943848,3470.6749796185127,2901.864942,5392.82074575,8095.064671,11175.465631000001,13877.071576249999,18653.450706,8192
